experiment_name,Useful,Unhelpful,not_able_to_evaluate,Invalid,Useful_ratio,Unhelpful_ratio,not_able_to_evaluate_ratio,Invalid_ratio,3/3,2/3,1/3,0/3,3/3_ratio,2/3_ratio,1/3_ratio,0/3_ratio,overall_punctuation,time_mean,time_std
llama8b_social_n2_Teo_Sddd,355,64,119,20,0.64,0.11,0.21,0.04,62.0,62.0,45.0,17.0,0.33,0.33,0.24,0.09,0.636200716845878,0.1368820546451525,0.8380389564820437
llama8b_social_n2_Too_Sdrr,383,57,100,16,0.69,0.1,0.18,0.03,71.0,67.0,36.0,12.0,0.38,0.36,0.19,0.06,0.6863799283154126,0.0289415981553579,0.3923750521113395
llama8b_social_n2_Teo_Srdr,348,57,130,21,0.63,0.1,0.23,0.04,57.0,69.0,39.0,21.0,0.31,0.37,0.21,0.11,0.623655913978495,0.2641182399180564,1.2682615345790658
llama8b_social_n2_Tee_Sdrd,363,63,118,14,0.65,0.11,0.21,0.03,61.0,71.0,38.0,16.0,0.33,0.38,0.2,0.09,0.6505376344086022,0.1108545896469524,0.9056246802308734
llama8b_social_n2_Tee_Srrd,369,63,100,24,0.66,0.11,0.18,0.04,63.0,70.0,40.0,13.0,0.34,0.38,0.22,0.07,0.6612903225806455,0.326063719554147,1.8151812789295192
llama8b_social_n2_Tee_Sddr,374,64,106,14,0.67,0.11,0.19,0.03,74.0,55.0,42.0,15.0,0.4,0.3,0.23,0.08,0.6702508960573478,0.6640512145918316,1.9568085918850304
llama8b_social_n2_Teo_Srrd,366,61,111,18,0.66,0.11,0.2,0.03,63.0,70.0,37.0,16.0,0.34,0.38,0.2,0.09,0.6559139784946239,0.0521817701660291,0.4988835683500025
llama8b_social_n2_Teo_Sdrd,360,66,113,17,0.65,0.12,0.2,0.03,65.0,62.0,41.0,18.0,0.35,0.33,0.22,0.1,0.6451612903225808,0.494621378348975,1.8067511657272135
llama8b_social_n2_Tee_Srdr,355,66,114,23,0.64,0.12,0.2,0.04,55.0,71.0,48.0,12.0,0.3,0.38,0.26,0.06,0.6362007168458785,0.7814424226981506,2.0566927948161564
llama8b_social_n2_Tee_Srdd,361,70,110,17,0.65,0.13,0.2,0.03,63.0,68.0,36.0,19.0,0.34,0.37,0.19,0.1,0.6469534050179211,0.1102911048876722,0.7480088371064284
llama8b_social_n2_Teo_Sdrr,359,64,116,19,0.64,0.11,0.21,0.03,50.0,86.0,37.0,13.0,0.27,0.46,0.2,0.07,0.6433691756272407,0.4121148319628905,1.5748418556876425
llama8b_social_n2_Teo_Srrr,348,75,121,14,0.62,0.13,0.22,0.03,51.0,71.0,53.0,11.0,0.27,0.38,0.28,0.06,0.6236559139784945,0.2092705130162748,0.9998604079814544
llama8b_social_n2_Tee_Sddd,375,67,99,17,0.67,0.12,0.18,0.03,67.0,70.0,34.0,15.0,0.36,0.38,0.18,0.08,0.6720430107526885,0.1864209500434357,1.033087703791483
llama8b_social_n2_Tee_Sdrr,373,50,113,22,0.67,0.09,0.2,0.04,62.0,78.0,31.0,15.0,0.33,0.42,0.17,0.08,0.6684587813620075,0.356993848075045,1.4624643518462683
llama8b_social_n2_Teo_Srdd,369,70,100,19,0.66,0.13,0.18,0.03,65.0,67.0,40.0,14.0,0.35,0.36,0.22,0.08,0.6612903225806457,0.3234471794565506,1.4170964352949371
llama8b_social_n3_Tooo_Sddd,374,65,99,20,0.67,0.12,0.18,0.04,67.0,66.0,41.0,12.0,0.36,0.35,0.22,0.06,0.6702508960573479,0.1564198964623785,0.9566463756756042
llama8b_social_n2_Tee_Srrr,364,71,92,26,0.66,0.13,0.17,0.05,61.0,68.0,45.0,12.0,0.33,0.37,0.24,0.06,0.6523297491039428,0.3767403454408674,1.6807911988900994
llama8b_social_n3_Tooo_Sddr,366,66,107,19,0.66,0.12,0.19,0.03,60.0,75.0,36.0,15.0,0.32,0.4,0.19,0.08,0.6559139784946239,0.0711255467526776,0.6882255843623639
llama8b_social_n3_Tooo_Sdrr,374,72,87,24,0.67,0.13,0.16,0.04,62.0,76.0,36.0,12.0,0.33,0.41,0.19,0.06,0.670250896057348,0.1303415438978062,0.9480572484939516
llama8b_social_n3_Tooo_Sdrd,371,70,92,25,0.66,0.13,0.16,0.04,60.0,76.0,39.0,11.0,0.32,0.41,0.21,0.06,0.6648745519713262,0.2753353857580892,1.3320047263119374
llama8b_social_n3_Tooo_Srdd,379,63,97,18,0.68,0.11,0.17,0.03,68.0,70.0,35.0,13.0,0.37,0.38,0.19,0.07,0.6792114695340508,0.0354587945913378,0.4803046864180703
llama8b_social_n3_Tooo_Srdr,374,59,103,22,0.67,0.11,0.18,0.04,72.0,60.0,38.0,16.0,0.39,0.32,0.2,0.09,0.6702508960573479,0.4922899432687836,2.5558621031826236
llama8b_social_n3_Tooo_Srrd,356,66,119,17,0.64,0.12,0.21,0.03,65.0,62.0,37.0,22.0,0.35,0.33,0.2,0.12,0.6379928315412188,0.1729328586290198,1.2934270424232888
llama8b_social_n3_Tooo_Srrr,374,59,104,21,0.67,0.11,0.19,0.04,67.0,70.0,33.0,16.0,0.36,0.38,0.18,0.09,0.6702508960573481,0.4070995004408604,1.902090355273544
llama8b_social_n3_Teoo_Srrr,377,62,98,21,0.68,0.11,0.18,0.04,60.0,82.0,33.0,11.0,0.32,0.44,0.18,0.06,0.6756272401433693,0.073748585838828,0.7047166383574622
llama8b_social_n3_Teeo_Sddd,374,66,97,21,0.67,0.12,0.17,0.04,70.0,63.0,38.0,15.0,0.38,0.34,0.2,0.08,0.6702508960573478,0.1586113708011301,0.957215039806636
llama8b_social_n3_Teoo_Sdrr,362,58,116,22,0.65,0.1,0.21,0.04,61.0,69.0,41.0,15.0,0.33,0.37,0.22,0.08,0.6487455197132614,0.0496047453063549,0.670694020034025
llama8b_social_n3_Teoo_Srdd,373,55,110,20,0.67,0.1,0.2,0.04,66.0,72.0,31.0,17.0,0.35,0.39,0.17,0.09,0.6684587813620074,0.1536184271505873,1.061047514851812
llama8b_social_n3_Teoo_Sddd,371,63,101,23,0.66,0.11,0.18,0.04,60.0,79.0,33.0,14.0,0.32,0.42,0.18,0.08,0.6648745519713266,0.0833424449032541,1.130376665504936
llama8b_social_n3_Teoo_Sddr,380,70,87,21,0.68,0.13,0.16,0.04,72.0,64.0,36.0,14.0,0.39,0.34,0.19,0.08,0.681003584229391,0.442627990333334,1.9727896277116197
llama8b_social_n3_Teoo_Srdr,373,53,104,26,0.67,0.1,0.19,0.05,65.0,74.0,30.0,17.0,0.35,0.4,0.16,0.09,0.6684587813620075,0.4932304153385938,2.014604879015585
llama8b_social_n3_Teoo_Sdrd,373,65,98,22,0.67,0.12,0.18,0.04,63.0,71.0,42.0,10.0,0.34,0.38,0.23,0.05,0.6684587813620074,0.0954372094194734,0.9294849286917144
llama8b_social_n3_Teoo_Srrd,371,61,101,25,0.66,0.11,0.18,0.04,67.0,64.0,42.0,13.0,0.36,0.34,0.23,0.07,0.6648745519713263,0.6849831671345108,2.473763324940012
llama8b_social_n3_Teeo_Sddr,370,56,113,17,0.67,0.1,0.2,0.03,68.0,66.0,34.0,18.0,0.37,0.35,0.18,0.1,0.6630824372759861,0.8950141052689584,3.095585501732791
llama8b_social_n3_Teee_Srrr,382,49,102,25,0.68,0.09,0.18,0.04,73.0,60.0,43.0,10.0,0.39,0.32,0.23,0.05,0.6845878136200716,0.2716577862902927,1.4400415194037006
llama8b_social_n3_Teee_Sdrr,363,66,109,20,0.65,0.12,0.2,0.04,62.0,69.0,39.0,16.0,0.33,0.37,0.21,0.09,0.6505376344086023,0.1751490051988233,1.2268870903818183
llama8b_social_n3_Teeo_Srdd,353,77,107,18,0.64,0.14,0.19,0.03,53.0,73.0,48.0,12.0,0.28,0.39,0.26,0.06,0.6326164874551972,0.0435521778333646,0.5901466587268351
llama8b_social_n3_Teee_Srdd,397,58,81,22,0.71,0.1,0.15,0.04,74.0,71.0,33.0,8.0,0.4,0.38,0.18,0.04,0.7114695340501795,0.7499827032260064,2.812152509613745
llama8b_social_n3_Teeo_Sdrr,378,60,103,17,0.68,0.11,0.18,0.03,69.0,66.0,39.0,12.0,0.37,0.35,0.21,0.06,0.67741935483871,0.0775982412692379,0.7425443260745552
llama8b_social_n3_Teeo_Srrr,369,66,99,24,0.66,0.12,0.18,0.04,61.0,72.0,42.0,11.0,0.33,0.39,0.23,0.06,0.6612903225806455,0.1951456708926362,1.0768281025331845
llama8b_social_n3_Teee_Sddd,368,56,100,32,0.66,0.1,0.18,0.06,70.0,60.0,38.0,18.0,0.38,0.32,0.2,0.1,0.6594982078853046,0.2672207221884911,1.1975773302930457
llama8b_social_n3_Teee_Sddr,361,65,104,28,0.65,0.12,0.19,0.05,61.0,68.0,42.0,15.0,0.33,0.37,0.23,0.08,0.6469534050179212,0.1510464823710129,1.0442531707976872
llama8b_social_n3_Teeo_Srrd,357,63,116,20,0.64,0.11,0.21,0.04,59.0,76.0,28.0,23.0,0.32,0.41,0.15,0.12,0.6397849462365596,0.3304584973387048,1.9423021354618684
llama8b_social_n3_Teeo_Sdrd,356,66,115,21,0.64,0.12,0.21,0.04,55.0,73.0,45.0,13.0,0.3,0.39,0.24,0.07,0.6379928315412188,0.528495593870923,2.2775863364301356
llama8b_social_n3_Teee_Srdr,371,61,108,18,0.66,0.11,0.19,0.03,63.0,75.0,32.0,16.0,0.34,0.4,0.17,0.09,0.6648745519713266,0.2732969959246846,1.4021015154973209
llama8b_social_n3_Teeo_Srdr,356,57,122,23,0.64,0.1,0.22,0.04,58.0,70.0,42.0,16.0,0.31,0.38,0.23,0.09,0.6379928315412188,0.1113622937040789,0.8688835853182708
llama8b_social_n3_Teee_Sdrd,365,79,90,24,0.65,0.14,0.16,0.04,69.0,56.0,46.0,15.0,0.37,0.3,0.25,0.08,0.654121863799283,0.1147018978547855,0.77376005510982
llama8b_social_n3_Teee_Srrd,364,67,106,21,0.65,0.12,0.19,0.04,61.0,73.0,35.0,17.0,0.33,0.39,0.19,0.09,0.652329749103943,0.22216648970960926,1.4494848800305242
